Pin_Code,Neighborhood,Latitude,Longitude
560086,"Avani Sringeri mutt,Basaveswaranagar Ii stage,Mahalakshmipuram Layout",13.0086531,77.5301946
560087,"Gunjur,Muthusandra,Panathur,Vartur",12.9207551,77.7247402
560091,Viswaneedam,12.9863766,77.4772103
560092,"Amruthahalli,Kodigehalli,Sahakaranagar P.o",13.0626238,77.583082
560093,C.V.raman nagar,12.9854198,77.6614502
560094,"Isro Anthariksha bhavan,R.M.v. extension ii stage",13.0365166,77.5633687
560095,Koramangala Vi bk,12.9373116,77.6256351
560096,"Kanteeravanagar,Nandinilayout",13.0142056,77.5313427
560097,"Chikkabettahalli,Vidyaranyapura",13.0768742,77.5407907
560098,"Kenchanahalli,Rajarajeshwarinagar",12.9139072,77.4967804
560099,Muthanallur,12.8432715,77.6674823
560100,Electronics City,12.8472618,77.6435661
560102,Hsr Layout,12.9142679,77.6353857
560103,Bellandur,12.9224023,77.6579944
560104,Hampinagar,12.9614066,77.5344565
562106,"Anekal,Anekalbazar,Bestamaranahalli,Harogadde,Hennagara,Hulimangala,Indalavadi,Jigani,Marsur,Samandur,Sidihoskote,Thammanayakanahalli,Vanakanahalli",12.5933157,77.8289795
562107,"Attibele,Bidaraguppe,Mayasandra,Neralur,Yadavanahalli",12.7610397,77.7129361
562125,"Dommasandra,Handenahalli,Kugur,Sarjapura",12.8703429,77.7149598
562130,"Chikkanahalli,Chunchanakuppe,Kadabagere,Tavarekere",12.9224023,77.6579944
562149,"Bagalur,Bandikodigehalli,Doddagubbi,Kannur",13.1147565,77.6463805
562157,"Bettahalsur,Chikkajala,Doddajala,Hunasamaranahalli,Tarahunise,Vidyanagara",13.1875519,77.5629854
